Tamanho amostral,Nível significância,Crítico
3,0,0.866
4,0,0.784
5,0,0.726
6,0,0.683
7,0,0.648
8,0,0.619
9,0,0.595
10,0,0.574
11,0,0.556
12,0,0.539
13,0,0.525
14,0,0.512
15,0,0.5
16,0,0.489
17,0,0.478
18,0,0.469
19,0,0.46
20,0,0.452
21,0,0.445
22,0,0.437
23,0,0.431
24,0,0.424
25,0,0.418
26,0,0.412
27,0,0.407
28,0,0.402
29,0,0.397
30,0,0.392
31,0,0.388
32,0,0.383
33,0,0.379
34,0,0.375
35,0,0.371
36,0,0.367
37,0,0.364
38,0,0.36
39,0,0.357
40,0,0.354
41,0,0.351
42,0,0.348
43,0,0.345
44,0,0.342
45,0,0.339
46,0,0.336
47,0,0.334
48,0,0.331
49,0,0.329
50,0,0.326
55,0,0.315
60,0,0.305
65,0,0.296
70,0,0.288
75,0,0.281
80,0,0.274
85,0,0.268
90,0,0.263
95,0,0.257
100,0,0.252
3,0.005,0.867
4,0.005,0.813
5,0.005,0.803
6,0.005,0.818
7,0.005,0.828
8,0.005,0.841
9,0.005,0.851
10,0.005,0.86
11,0.005,0.868
12,0.005,0.875
13,0.005,0.882
14,0.005,0.888
15,0.005,0.894
16,0.005,0.899
17,0.005,0.903
18,0.005,0.907
19,0.005,0.909
20,0.005,0.912
21,0.005,0.914
22,0.005,0.918
23,0.005,0.922
24,0.005,0.926
25,0.005,0.928
26,0.005,0.93
27,0.005,0.932
28,0.005,0.934
29,0.005,0.937
30,0.005,0.938
31,0.005,0.939
32,0.005,0.939
33,0.005,0.94
34,0.005,0.941
35,0.005,0.943
36,0.005,0.945
37,0.005,0.947
38,0.005,0.948
39,0.005,0.949
40,0.005,0.949
41,0.005,0.95
42,0.005,0.951
43,0.005,0.953
44,0.005,0.954
45,0.005,0.955
46,0.005,0.956
47,0.005,0.956
48,0.005,0.957
49,0.005,0.957
50,0.005,0.959
55,0.005,0.962
60,0.005,0.965
65,0.005,0.967
70,0.005,0.969
75,0.005,0.971
80,0.005,0.973
85,0.005,0.974
90,0.005,0.976
95,0.005,0.977
100,0.005,0.979
3,0.01,0.869
4,0.01,0.822
5,0.01,0.822
6,0.01,0.835
7,0.01,0.847
8,0.01,0.859
9,0.01,0.868
10,0.01,0.876
11,0.01,0.883
12,0.01,0.889
13,0.01,0.895
14,0.01,0.901
15,0.01,0.907
16,0.01,0.912
17,0.01,0.916
18,0.01,0.919
19,0.01,0.923
20,0.01,0.925
21,0.01,0.928
22,0.01,0.93
23,0.01,0.933
24,0.01,0.936
25,0.01,0.937
26,0.01,0.939
27,0.01,0.941
28,0.01,0.943
29,0.01,0.945
30,0.01,0.947
31,0.01,0.948
32,0.01,0.949
33,0.01,0.95
34,0.01,0.951
35,0.01,0.952
36,0.01,0.953
37,0.01,0.955
38,0.01,0.956
